dataset,task_id,failure_type,strategy_dispatched,outcome
main_342,341_1,MISSING_STEP,reconstruct,resolved
main_342,1083_2,MISSING_STEP,reconstruct,resolved
main_342,1083_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,392_2,MISSING_STEP,reconstruct,resolved
main_342,392_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,755_2,WRONG_TEMPORAL_ORDER,reconstruct,resolved
main_342,204_2,AFFORDANCE_ERROR,local,gave_up
main_342,416_1,AFFORDANCE_ERROR,local,gave_up
main_342,449_1,AFFORDANCE_ERROR,local,gave_up
main_342,449_1,MISSING_STEP,wrong_action,resolved
main_342,563_1,AFFORDANCE_ERROR,local,gave_up
main_342,793_2,AFFORDANCE_ERROR,local,gave_up
main_342,180_1,MISSING_STEP,insert_prep,resolved
main_342,287_2,MISSING_STEP,insert_prep,resolved
main_342,474_2,MISSING_STEP,insert_prep,resolved
main_342,601_2,MISSING_STEP,insert_prep,resolved
main_342,310_2,MISSING_STEP,reconstruct,resolved
main_342,721_2,MISSING_STEP,reconstruct,resolved
main_342,419_2,MISSING_STEP,reconstruct,resolved
main_342,419_2,MISSING_STEP,reconstruct,resolved
main_342,419_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,446_2,MISSING_STEP,insert_prep,resolved
main_342,446_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,429_2,MISSING_STEP,insert_prep,resolved
main_342,594_2,MISSING_STEP,insert_prep,resolved
main_342,988_1,AFFORDANCE_ERROR,local,gave_up
hard_50,9001_1,MISSING_STEP,reconstruct,resolved
hard_50,9001_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9002_1,MISSING_STEP,reconstruct,resolved
hard_50,9002_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9002_1,MISSING_STEP,reconstruct,resolved
hard_50,9003_1,MISSING_STEP,insert_prep,resolved
hard_50,9003_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9003_1,MISSING_STEP,reconstruct,resolved
hard_50,9004_1,MISSING_STEP,reconstruct,resolved
hard_50,9004_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9004_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9005_1,MISSING_STEP,reconstruct,resolved
hard_50,9005_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9006_1,MISSING_STEP,already_satisfied,resolved
hard_50,9006_1,WRONG_TEMPORAL_ORDER,reconstruct,resolved
hard_50,9006_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9007_1,MISSING_STEP,reconstruct,resolved
hard_50,9007_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9007_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9008_1,MISSING_STEP,reconstruct,resolved
hard_50,9008_1,WRONG_TEMPORAL_ORDER,reconstruct,resolved
hard_50,9008_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9009_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9009_1,MISSING_STEP,reconstruct,resolved
hard_50,9009_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9010_1,MISSING_STEP,reconstruct,resolved
hard_50,9010_1,WRONG_TEMPORAL_ORDER,reconstruct,resolved
hard_50,9010_1,WRONG_TEMPORAL_ORDER,reconstruct,resolved
hard_50,9011_1,WRONG_TEMPORAL_ORDER,reconstruct,resolved
hard_50,9011_1,MISSING_STEP,insert_prep,resolved
hard_50,9011_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9012_1,MISSING_STEP,reconstruct,resolved
hard_50,9012_1,AFFORDANCE_ERROR,local,resolved
hard_50,9012_1,MISSING_STEP,reconstruct,resolved
hard_50,9013_1,MISSING_STEP,reconstruct,resolved
hard_50,9014_1,AFFORDANCE_ERROR,local,resolved
hard_50,9014_1,MISSING_STEP,reconstruct,resolved
hard_50,9015_1,AFFORDANCE_ERROR,local,resolved
hard_50,9015_1,MISSING_STEP,reconstruct,resolved
hard_50,9015_1,MISSING_STEP,reconstruct,resolved
hard_50,9016_1,MISSING_STEP,reconstruct,resolved
hard_50,9016_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9016_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9017_1,AFFORDANCE_ERROR,local,resolved
hard_50,9017_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9017_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9018_1,AFFORDANCE_ERROR,local,resolved
hard_50,9018_1,MISSING_STEP,reconstruct,resolved
hard_50,9018_1,MISSING_STEP,reconstruct,resolved
hard_50,9019_1,AFFORDANCE_ERROR,local,resolved
hard_50,9019_1,MISSING_STEP,reconstruct,resolved
hard_50,9020_1,AFFORDANCE_ERROR,local,resolved
hard_50,9020_1,MISSING_STEP,reconstruct,resolved
hard_50,9020_1,MISSING_STEP,reconstruct,resolved
hard_50,9021_1,MISSING_STEP,reconstruct,resolved
hard_50,9021_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9021_1,MISSING_STEP,reconstruct,resolved
hard_50,9022_1,MISSING_STEP,reconstruct,resolved
hard_50,9022_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9022_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9023_1,MISSING_STEP,insert_prep,resolved
hard_50,9023_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9023_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9024_1,MISSING_STEP,reconstruct,resolved
hard_50,9024_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9024_1,MISSING_STEP,reconstruct,resolved
hard_50,9025_1,MISSING_STEP,reconstruct,resolved
hard_50,9025_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9025_1,MISSING_STEP,reconstruct,resolved
hard_50,9026_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9027_1,MISSING_STEP,insert_prep,resolved
hard_50,9027_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9027_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9028_1,MISSING_STEP,insert_prep,resolved
hard_50,9028_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9028_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9029_1,MISSING_STEP,insert_prep,resolved
hard_50,9029_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9029_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9030_1,MISSING_STEP,reconstruct,resolved
hard_50,9030_1,MISSING_STEP,reconstruct,resolved
hard_50,9031_1,MISSING_STEP,insert_prep,resolved
hard_50,9031_1,MISSING_STEP,insert_prep,resolved
hard_50,9031_1,MISSING_STEP,insert_prep,resolved
hard_50,9036_1,MISSING_STEP,insert_prep,resolved
hard_50,9036_1,MISSING_STEP,insert_prep,resolved
hard_50,9036_1,MISSING_STEP,insert_prep,resolved
hard_50,9038_1,MISSING_STEP,insert_prep,resolved
hard_50,9038_1,MISSING_STEP,insert_prep,resolved
hard_50,9038_1,MISSING_STEP,insert_prep,resolved
hard_50,9041_1,AFFORDANCE_ERROR,local,resolved
hard_50,9041_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9041_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9042_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9042_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9043_1,AFFORDANCE_ERROR,local,resolved
hard_50,9044_1,AFFORDANCE_ERROR,local,resolved
hard_50,9044_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9044_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9045_1,MISSING_STEP,insert_prep,resolved
hard_50,9045_1,MISSING_STEP,reconstruct,gave_up
hard_50,9045_1,MISSING_STEP,reconstruct,gave_up
hard_50,9046_1,MISSING_STEP,reconstruct,resolved
hard_50,9046_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9046_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9047_1,MISSING_STEP,insert_prep,resolved
hard_50,9047_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9047_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9048_1,AFFORDANCE_ERROR,local,resolved
hard_50,9049_1,AFFORDANCE_ERROR,local,resolved
hard_50,9049_1,AFFORDANCE_ERROR,local,resolved
hard_50,9049_1,AFFORDANCE_ERROR,local,gave_up
hard_50,9050_1,MISSING_STEP,reconstruct,resolved
hard_50,9050_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
hard_50,9050_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
